feature,train_weighted_corr,valid_weighted_corr,single_feature_valid_r2
feature_120,-0.03257581656574683,-0.05332249355046784,0.7907537275191846
feature_036,-0.0289179188518975,-0.0584229348726274,0.7906933365980344
feature_313,-0.031026348377534256,-0.06195479823129458,0.7906445728852202
feature_000,-0.030683991455675755,-0.06147406604270882,0.7906360686760778
ts_minus_ema20_feature_284,0.029436299668806936,0.04765271567502826,0.7906181796568771
feature_263,-0.02956244192338692,-0.06095747187335983,0.7906179404488719
feature_094,-0.03990962759723027,-0.040382491123754354,0.7906148375858657
feature_034,-0.018199086720074448,-0.0642049229657162,0.7905990232832033
feature_247,-0.03612550631112998,-0.038318108640559186,0.7905857107948806
feature_308,-0.024945422067322337,-0.05056544998239075,0.79057968051862
feature_135,-0.02184188437964764,-0.0523218378298883,0.7905654278378065
feature_305,-0.021483138023300635,-0.05097280488000335,0.7905635226751133
ts_rolling_std20_feature_253,0.041916806415546216,0.03930219639069443,0.7905540654127688
ts_rolling_std20_feature_023,0.04286015433521175,0.039628397295622377,0.7905379750445701
ts_minus_ema20_feature_288,0.03089240500999886,0.04812324558395147,0.7905359207471653
feature_013,-0.02003323461209288,-0.04360942725719185,0.7905334114068217
feature_117,-0.03412684009552267,-0.04363685394013346,0.7905131481464525
feature_276,-0.03412683588479697,-0.04363684630179863,0.7905131480547514
feature_288,0.044936404138795176,0.0648222588601984,0.7905119131881808
feature_042,-0.02316663053118857,-0.04380361572311988,0.7905055303319481
feature_144,-0.022013088543710133,-0.04424642633996143,0.7905038335962931
ts_historical_zscore20_feature_236,0.04093220816146269,0.03521624331815183,0.7905005892361461
feature_111,-0.0295089340788419,-0.04430852230753921,0.7904886137031732
feature_256,-0.026609427201152752,-0.03927375277289243,0.7904803864083209
feature_291,0.0476105612366748,0.055578571089723514,0.790464499087605
ts_historical_zscore20_feature_079,0.022717103485949606,0.03589951319289782,0.7904506754901204
feature_213,0.022583733277935635,0.03695238720343861,0.790449003406245
feature_293,0.04337125618575774,0.05674191412102278,0.790442665615103
feature_155,-0.028433492262939123,-0.02236597342042437,0.790442265253236
feature_217,-0.021479016006377125,-0.028834455446589524,0.7904393373505574
feature_258,-0.023165989727825173,-0.04029390425525946,0.790435940475016
feature_095,0.025723125099288896,0.033583441699842204,0.7904288071130627
ts_historical_zscore20_feature_237,0.024118823250311554,0.035382535038017394,0.790428246144397
feature_113,-0.029814434386280998,-0.035028902108587466,0.7904155344421969
feature_038,-0.02069189719805477,-0.02130298453085431,0.7904113186531455
feature_006,-0.029697121676207326,-0.03308028147017169,0.7904086040779089
feature_269,-0.02936060308658656,-0.03290876833974196,0.7904061157548659
