feature,train_weighted_corr,valid_weighted_corr,single_feature_valid_r2
feature_032,-0.017591490720630588,-0.020682935275316405,0.8255648784415353
ts_rolling_std20_feature_218,0.012756469181687123,0.021155397372166204,0.825564096386794
ts_lag5_feature_125,0.01034539225730664,0.006574935962249377,0.825562531526064
feature_212,-0.02179000953460672,-0.01637060102680652,0.8255619496171458
feature_181,0.010259186292569195,0.02383965563322332,0.8255617994048375
ts_ema20_feature_125,0.00987793783220454,0.006577384315611247,0.8255599152619886
ts_ema5_feature_125,0.009853217764350516,0.006575584806918736,0.8255598124965092
ts_lag1_feature_125,0.00984723172578912,0.006576066386062708,0.8255597905809481
feature_125,0.009771973547831497,0.006576457210656521,0.8255593666384231
feature_034,-0.004189551792568014,-0.05230204399009075,0.8255590138844863
ts_delta5_feature_218,-0.009553769143831681,-0.0236500165571732,0.8255589140599775
feature_135,-0.006321101776561159,-0.03540635804404721,0.8255575443148091
ts_rolling_std20_feature_115,0.008727766959326939,0.050313125671768065,0.8255549146411599
ts_rolling_std20_feature_274,0.00877705698507108,0.050041501960397125,0.8255546071422646
feature_258,-0.011104545843333598,-0.026464673012973124,0.8255545080869954
ts_historical_zscore20_feature_143,-0.020199556219967264,-0.01866777054775638,0.8255541033145778
feature_206,0.011293804537563004,0.018201529035406987,0.8255538304322562
ts_historical_zscore20_feature_140,-0.02507567252810598,-0.020374814658306192,0.8255534028228187
ts_minus_ema20_feature_140,-0.010909569862884277,-0.025017603025480593,0.8255529814351913
ts_historical_zscore20_feature_237,0.014721854008314944,0.01977791982748241,0.8255527582180211
feature_260,-0.009943769900199653,-0.017871541327834407,0.8255526891994969
feature_244,0.015507420548312278,0.01840897491908558,0.8255519509029496
feature_158,-0.009370880372282071,-0.010477301096659074,0.8255517658217748
ts_minus_ema20_feature_079,0.0246742053790369,0.019615867973472204,0.82555149459888
feature_305,-0.005380628960297115,-0.034822083279711535,0.8255506966147905
feature_076,0.006382941208771625,0.026908890725009408,0.8255497017884224
feature_205,0.010244895470674656,0.017747948042406442,0.8255495894182298
ts_historical_zscore20_feature_111,0.008402504972855485,0.022066435300825443,0.8255476628995917
ts_historical_zscore20_feature_156,0.03818342643734559,0.022255408341997025,0.8255467310036424
feature_058,-0.010772004815861802,-0.0023430689245491775,0.825545543485638
feature_293,0.028823857315911798,0.04029807918601583,0.8255449309931848
feature_078,0.005333810649800058,0.027919885716182452,0.8255435353234829
feature_319,-0.01884764707113627,-0.016751257132385997,0.8255415993325306
ts_historical_zscore20_feature_069,-0.005669744657518475,-0.013206980195135953,0.8255406144139668
feature_097,-0.012314334259093099,-0.012118523347423405,0.8255396780079715
feature_006,-0.01729534325495481,-0.016837141740138336,0.8255396112218563
feature_269,-0.017023146177882365,-0.016697353115059956,0.825538943173114
feature_156,-0.006075071398998097,-0.010893874052405593,0.8255378237298664
ts_historical_zscore20_feature_234,0.013959874807858612,0.017244245313599513,0.8255376619331088
ts_lag5_feature_067,0.014327467853336327,-0.003652911600802482,0.8255374608487371
feature_080,-0.005771795906964396,-0.0025476984900284663,0.825536100843457
feature_299,0.0011637664230822568,-0.0013713792125404267,0.8255350358745793
feature_306,-0.01592968186358249,-0.01672971436332119,0.8255335961066211
ts_historical_zscore20_feature_207,0.023037286305410336,0.01711410327858277,0.8255331435132808
ts_minus_ema20_feature_312,-0.0057380401069299924,-0.016379906330306063,0.8255331210640339
ts_delta1_feature_231,-0.00853557404948747,-0.01779308838344501,0.8255330461116641
ts_historical_zscore20_feature_141,-0.015586260222194778,-0.0112802924058008,0.8255321098384923
ts_historical_zscore20_feature_235,0.020768690012174962,0.015820719157659726,0.8255307321990992
ts_historical_zscore20_feature_218,-0.004694588625430673,-0.024074084480074667,0.8255307271050663
feature_294,-0.0046563028848968175,-0.009370779879552364,0.8255303765805964
feature_256,-0.0062345847820415926,-0.02266620635458031,0.8255301452972262
feature_249,-0.014710073535192263,-0.011856311969203854,0.8255300052899808
